"Film","Movie.Genre","IMDB.Rating","Audience.Count","Movie.Time"
"Wings","Drama,Romance,War",7.5,3530,144
"7th Heaven","Drama,Romance",7.7,NA,110
"The Racket","Crime,Drama,Film-Noir",6.7,NA,84
"The Broadway Melody","Drama,Musical,Romance",5.7,1813,100
"Alibi","Action,Crime,Romance",5.8,NA,91
"Hollywood Revue","Comedy,Music",5.7,NA,130
"In Old Arizona","Western",5.6,356,95
"The Patriot","Drama,History,Thriller",7.4,NA,113
"All Quiet on the Western Front","Drama,War",8.1,NA,152
"The Big House","Crime,Drama,Thriller",7.1,323,87
"Disraeli","Biography,Drama,History",6.2,NA,90
"The Divorcee","Romance,Drama",6.7,NA,84
"The Love Parade","Comedy,Musical,Romance",7,NA,107
"Cimarron","Drama,Western",5.9,1514,123
"East Lynne","Drama,Romance",5.9,NA,102
"The Front Page","Comedy,Crime,Drama",6.8,NA,101
"Skippy","Comedy,Drama,Family",6.3,NA,85
"Trader Horn","Action,Adventure,Drama",6.3,NA,122
"Grand Hotel","Drama,Romance",7.4,7014,112
"Arrowsmith","Drama",6.2,NA,108
"Bad Girl","Drama,Romance",6.5,NA,90
"The Champ","Drama,Sport",7.3,617,86
"Five Star Final","Crime,Drama",7.3,NA,89
"One Hour with You","Comedy,Musical,Romance",7.2,NA,78
"Shanghai Express","Adventure,Drama,Romance",7.3,NA,82
"The Smiling Lieutenant","Comedy,Romance,Musical",7.2,NA,93
"Cavalcade","Drama,Romance,War",5.9,1027,112
"42nd Street","Comedy,Drama,Musical",7.4,7561,89
"A Farewell to Arms","Drama,Romance,War",6.5,5697,80
"I Am a Fugitive from a Chain Gang","Crime,Drama,Film-Noir",8.2,NA,92
"Lady for a Day","Comedy,Drama",7.4,NA,96
"Little Women","Drama,Family,Romance",7.2,9776,115
"The Private Life of Henry VIII","Biography,Comedy,Drama",7.1,1295,97
"She Done Him Wrong","Comedy,Drama,History",6.4,2240,66
"Smilin' Through","Drama,Romance",6.9,NA,98
"State Fair","Comedy,Drama,Romance",6.8,NA,99
"It Happened One Night","Comedy,Romance",8.1,33678,105
"The Barretts of Wimpole Street","Biography,Drama,Romance",7,335,109
"Cleopatra","Biography,Drama,History",6.8,NA,100
"Flirtation Walk","Musical,Romance",5.7,NA,97
"The Gay Divorcee","Comedy,Musical,Romance",7.5,3378,107
"Here Comes the Navy","Comedy,Drama,Romance",6.3,NA,87
"The House of Rothschild","Biography,Drama,History",6.6,NA,88
"Imitation of Life","Drama,Romance",7.5,4562,111
"One Night of Love","Music,Romance",5.7,NA,84
"The Thin Man","Comedy,Crime,Mystery",8,12999,91
"Viva Villa!","Action,Biography,Romance",6.4,NA,115
"The White Parade","Drama",6.8,NA,80
"Mutiny on the Bounty","Adventure,Biography,Drama",7.7,8061,132
"Alice Adams","Comedy,Drama,Romance",6.9,2419,99
"Broadway Melody of 1936","Musical,Romance",6.8,NA,101
"Captain Blood","Action,Adventure,History",7.7,8194,119
"David Copperfield","Adventure,Drama,Romance",7.4,NA,130
"The Informer","Crime,Drama",7.4,1081,91
"The Lives of a Bengal Lancer","Adventure,Drama,War",7.1,NA,109
"A Midsummer Night's Dream","Comedy,Fantasy,Romance",6.9,1229,133
"Les Misérables","Drama,History,Romance",7.7,NA,108
"Naughty Marietta","Drama,Musical,Romance",6.7,NA,105
"Ruggles of Red Gap","Comedy,Romance,Western",7.6,NA,90
"Top Hat","Comedy,Musical,Romance",7.8,9847,101
"The Great Ziegfeld","Biography,Drama,Musical",6.7,2778,176
"Anthony Adverse","Adventure,Drama,Romance",6.4,NA,141
"Dodsworth","Drama,Romance",7.8,1466,101
"Libeled Lady","Comedy,Romance",7.9,2696,98
"Mr. Deeds Goes to Town","Comedy,Drama,Romance",7.9,9236,115
"Romeo and Juliet","Drama,Romance",6.5,6,125
"San Francisco","Drama,Musical,Romance",7.2,1337,115
"The Story of Louis Pasteur","Biography,Drama,History",7.3,NA,86
"A Tale of Two Cities","Drama,History,Romance",7.8,2145,128
